class_index,class,height,width,scale by
79,CLARKS NUTCRACKER,224,224,1
80,COCK OF THE  ROCK,224,224,1
81,COCKATOO,224,224,1
82,COLLARED ARACARI,224,224,1
83,COMMON FIRECREST,224,224,1
84,COMMON GRACKLE,224,224,1
85,COMMON HOUSE MARTIN,224,224,1
86,COMMON LOON,224,224,1
87,COMMON POORWILL,224,224,1
88,COMMON STARLING,224,224,1
89,COUCHS KINGBIRD,224,224,1
90,CRESTED AUKLET,224,224,1
91,CRESTED CARACARA,224,224,1
92,CRESTED NUTHATCH,224,224,1
93,CRIMSON SUNBIRD,224,224,1
94,CROW,224,224,1
95,CROWNED PIGEON,224,224,1
96,CUBAN TODY,224,224,1
97,CUBAN TROGON,224,224,1
98,CURL CRESTED ARACURI,224,224,1
99,D-ARNAUDS BARBET,224,224,1
100,DARK EYED JUNCO,224,224,1
101,DOUBLE BARRED FINCH,224,224,1
102,DOUBLE BRESTED CORMARANT,224,224,1
103,DOWNY WOODPECKER,224,224,1
104,EASTERN BLUEBIRD,224,224,1
105,EASTERN MEADOWLARK,224,224,1
106,EASTERN ROSELLA,224,224,1
107,EASTERN TOWEE,224,224,1
108,ELEGANT TROGON,224,224,1
109,ELLIOTS  PHEASANT,224,224,1
110,EMPEROR PENGUIN,224,224,1
111,EMU,224,224,1
112,ENGGANO MYNA,224,224,1
113,EURASIAN GOLDEN ORIOLE,224,224,1
114,EURASIAN MAGPIE,224,224,1
115,EVENING GROSBEAK,224,224,1
116,FAIRY BLUEBIRD,224,224,1
117,FIRE TAILLED MYZORNIS,224,224,1
118,FLAME TANAGER,224,224,1
119,FLAMINGO,224,224,1
120,FRIGATE,224,224,1
121,GAMBELS QUAIL,224,224,1
122,GANG GANG COCKATOO,224,224,1
123,GILA WOODPECKER,224,224,1
124,GILDED FLICKER,224,224,1
125,GLOSSY IBIS,224,224,1
126,GO AWAY BIRD,224,224,1
127,GOLD WING WARBLER,224,224,1
128,GOLDEN CHEEKED WARBLER,224,224,1
129,GOLDEN CHLOROPHONIA,224,224,1
130,GOLDEN EAGLE,224,224,1
131,GOLDEN PHEASANT,224,224,1
132,GOLDEN PIPIT,224,224,1
133,GOULDIAN FINCH,224,224,1
134,GRAY CATBIRD,224,224,1
135,GRAY KINGBIRD,224,224,1
136,GRAY PARTRIDGE,224,224,1
137,GREAT GRAY OWL,224,224,1
138,GREAT KISKADEE,224,224,1
139,GREAT POTOO,224,224,1
140,GREATOR SAGE GROUSE,224,224,1
141,GREEN BROADBILL,224,224,1
142,GREEN JAY,224,224,1
143,GREEN MAGPIE,224,224,1
144,GREY PLOVER,224,224,1
145,GROVED BILLED ANI,224,224,1
146,GUINEA TURACO,224,224,1
147,GUINEAFOWL,224,224,1
148,GYRFALCON,224,224,1
149,HARLEQUIN DUCK,224,224,1
150,HARPY EAGLE,224,224,1
151,HAWAIIAN GOOSE,224,224,1
152,HELMET VANGA,224,224,1
153,HIMALAYAN MONAL,224,224,1
154,HOATZIN,224,224,1
155,HOODED MERGANSER,224,224,1
156,HOOPOES,224,224,1
157,HORNBILL,224,224,1
158,HORNED GUAN,224,224,1
159,HORNED LARK,224,224,1
160,HORNED SUNGEM,224,224,1
161,HOUSE FINCH,224,224,1
162,HOUSE SPARROW,224,224,1
163,HYACINTH MACAW,224,224,1
164,IMPERIAL SHAQ,224,224,1
165,INCA TERN,224,224,1
166,INDIAN BUSTARD,224,224,1
167,INDIAN PITTA,224,224,1
168,INDIAN ROLLER,224,224,1
169,INDIGO BUNTING,224,224,1
170,IWI,224,224,1
171,JABIRU,224,224,1
172,JAVA SPARROW,224,224,1
173,KAGU,224,224,1
174,KAKAPO,224,224,1
175,KILLDEAR,224,224,1
176,KING VULTURE,224,224,1
177,KIWI,224,224,1
178,KOOKABURRA,224,224,1
179,LARK BUNTING,224,224,1
180,LAZULI BUNTING,224,224,1
181,LILAC ROLLER,224,224,1
182,LONG-EARED OWL,224,224,1
183,MAGPIE GOOSE,224,224,1
184,MALABAR HORNBILL,224,224,1
185,MALACHITE KINGFISHER,224,224,1
186,MALAGASY WHITE EYE,224,224,1
187,MALEO,224,224,1
188,MALLARD DUCK,224,224,1
189,MANDRIN DUCK,224,224,1
190,MANGROVE CUCKOO,224,224,1
191,MARABOU STORK,224,224,1
192,MASKED BOOBY,224,224,1
193,MASKED LAPWING,224,224,1
194,MIKADO  PHEASANT,224,224,1
195,MOURNING DOVE,224,224,1
196,MYNA,224,224,1
197,NICOBAR PIGEON,224,224,1
198,NOISY FRIARBIRD,224,224,1
199,NORTHERN CARDINAL,224,224,1
200,NORTHERN FLICKER,224,224,1
201,NORTHERN FULMAR,224,224,1
202,NORTHERN GANNET,224,224,1
203,NORTHERN GOSHAWK,224,224,1
204,NORTHERN JACANA,224,224,1
205,NORTHERN MOCKINGBIRD,224,224,1
206,NORTHERN PARULA,224,224,1
207,NORTHERN RED BISHOP,224,224,1
208,NORTHERN SHOVELER,224,224,1
209,OCELLATED TURKEY,224,224,1
210,OKINAWA RAIL,224,224,1
211,ORANGE BRESTED BUNTING,224,224,1
212,ORIENTAL BAY OWL,224,224,1
213,OSPREY,224,224,1
214,OSTRICH,224,224,1
215,OVENBIRD,224,224,1
216,OYSTER CATCHER,224,224,1
217,PAINTED BUNTIG,224,224,1
218,PALILA,224,224,1
219,PARADISE TANAGER,224,224,1
220,PARAKETT  AKULET,224,224,1
221,PARUS MAJOR,224,224,1
222,PATAGONIAN SIERRA FINCH,224,224,1
223,PEACOCK,224,224,1
224,PELICAN,224,224,1
225,PEREGRINE FALCON,224,224,1
226,PHILIPPINE EAGLE,224,224,1
227,PINK ROBIN,224,224,1
228,POMARINE JAEGER,224,224,1
229,PUFFIN,224,224,1
230,PURPLE FINCH,224,224,1
231,PURPLE GALLINULE,224,224,1
232,PURPLE MARTIN,224,224,1
233,PURPLE SWAMPHEN,224,224,1
234,PYGMY KINGFISHER,224,224,1
235,QUETZAL,224,224,1
236,RAINBOW LORIKEET,224,224,1
237,RAZORBILL,224,224,1
238,RED BEARDED BEE EATER,224,224,1
239,RED BELLIED PITTA,224,224,1
240,RED BROWED FINCH,224,224,1
241,RED FACED CORMORANT,224,224,1
242,RED FACED WARBLER,224,224,1
243,RED FODY,224,224,1
244,RED HEADED DUCK,224,224,1
245,RED HEADED WOODPECKER,224,224,1
246,RED HONEY CREEPER,224,224,1
247,RED NAPED TROGON,224,224,1
248,RED TAILED HAWK,224,224,1
249,RED TAILED THRUSH,224,224,1
250,RED WINGED BLACKBIRD,224,224,1
251,RED WISKERED BULBUL,224,224,1
252,REGENT BOWERBIRD,224,224,1
253,RING-NECKED PHEASANT,224,224,1
254,ROADRUNNER,224,224,1
255,ROBIN,224,224,1
256,ROCK DOVE,224,224,1
257,ROSY FACED LOVEBIRD,224,224,1
258,ROUGH LEG BUZZARD,224,224,1
259,ROYAL FLYCATCHER,224,224,1
260,RUBY THROATED HUMMINGBIRD,224,224,1
261,RUDY KINGFISHER,224,224,1
262,RUFOUS KINGFISHER,224,224,1
263,RUFUOS MOTMOT,224,224,1
264,SAMATRAN THRUSH,224,224,1
265,SAND MARTIN,224,224,1
266,SANDHILL CRANE,224,224,1
267,SATYR TRAGOPAN,224,224,1
268,SCARLET CROWNED FRUIT DOVE,224,224,1
269,SCARLET IBIS,224,224,1
270,SCARLET MACAW,224,224,1
271,SCARLET TANAGER,224,224,1
272,SHOEBILL,224,224,1
273,SHORT BILLED DOWITCHER,224,224,1
274,SMITHS LONGSPUR,224,224,1
275,SNOWY EGRET,224,224,1
276,SNOWY OWL,224,224,1
277,SORA,224,224,1
278,SPANGLED COTINGA,224,224,1
279,SPLENDID WREN,224,224,1
280,SPOON BILED SANDPIPER,224,224,1
281,SPOONBILL,224,224,1
282,SPOTTED CATBIRD,224,224,1
283,SRI LANKA BLUE MAGPIE,224,224,1
284,STEAMER DUCK,224,224,1
285,STORK BILLED KINGFISHER,224,224,1
286,STRAWBERRY FINCH,224,224,1
287,STRIPED OWL,224,224,1
288,STRIPPED MANAKIN,224,224,1
289,STRIPPED SWALLOW,224,224,1
290,SUPERB STARLING,224,224,1
291,SWINHOES PHEASANT,224,224,1
292,TAIWAN MAGPIE,224,224,1
293,TAKAHE,224,224,1
294,TASMANIAN HEN,224,224,1
295,TEAL DUCK,224,224,1
296,TIT MOUSE,224,224,1
297,TOUCHAN,224,224,1
298,TOWNSENDS WARBLER,224,224,1
299,TREE SWALLOW,224,224,1
300,TROPICAL KINGBIRD,224,224,1
301,TRUMPTER SWAN,224,224,1
302,TURKEY VULTURE,224,224,1
303,TURQUOISE MOTMOT,224,224,1
304,UMBRELLA BIRD,224,224,1
305,VARIED THRUSH,224,224,1
306,VENEZUELIAN TROUPIAL,224,224,1
307,VERMILION FLYCATHER,224,224,1
308,VICTORIA CROWNED PIGEON,224,224,1
309,VIOLET GREEN SWALLOW,224,224,1
310,VULTURINE GUINEAFOWL,224,224,1
311,WALL CREAPER,224,224,1
312,WATTLED CURASSOW,224,224,1
313,WHIMBREL,224,224,1
314,WHITE BROWED CRAKE,224,224,1
315,WHITE CHEEKED TURACO,224,224,1
316,WHITE NECKED RAVEN,224,224,1
317,WHITE TAILED TROPIC,224,224,1
318,WHITE THROATED BEE EATER,224,224,1
319,WILD TURKEY,224,224,1
320,WILSONS BIRD OF PARADISE,224,224,1
321,WOOD DUCK,224,224,1
322,YELLOW BELLIED FLOWERPECKER,224,224,1
323,YELLOW CACIQUE,224,224,1
324,YELLOW HEADED BLACKBIRD,224,224,1
